id1,lon1,lat1,h1,id2,lon2,lat2,h2,dh,Distance(m),speed,Transfer_time (s)
65,8.595545,47.409209000000004,430,65,8.595545,47.409209000000004,430,0.0,0.0,50.0,120
65,8.595545,47.409209000000004,430,66,8.595545,47.409209000000004,430,0.0,0.0,50.0,120
65,8.595545,47.409209000000004,430,8503129,8.591911,47.412717,431,1.0,493.5573902964999,49.99,660
65,8.595545,47.409209000000004,430,8587651,8.595545,47.409209000000004,430,0.0,0.0,50.0,120
65,8.595545,47.409209000000004,430,8587655,8.592533999999999,47.41272,431,1.0,463.8898935281747,49.99,660
65,8.595545,47.409209000000004,430,8590884,8.597269,47.411701,432,2.0,312.0367581844734,49.98,480
65,8.595545,47.409209000000004,430,8590895,8.597853,47.412352,436,6.0,398.82414267029395,49.94,540
65,8.595545,47.409209000000004,430,8594198,8.598064,47.409292,440,10.0,210.0455469078477,49.9,360
66,8.595545,47.409209000000004,430,65,8.595545,47.409209000000004,430,0.0,0.0,50.0,120
66,8.595545,47.409209000000004,430,66,8.595545,47.409209000000004,430,0.0,0.0,50.0,120
66,8.595545,47.409209000000004,430,8503129,8.591911,47.412717,431,1.0,493.5573902964999,49.99,660
66,8.595545,47.409209000000004,430,8587651,8.595545,47.409209000000004,430,0.0,0.0,50.0,120
66,8.595545,47.409209000000004,430,8587655,8.592533999999999,47.41272,431,1.0,463.8898935281747,49.99,660
66,8.595545,47.409209000000004,430,8590884,8.597269,47.411701,432,2.0,312.0367581844734,49.98,480
66,8.595545,47.409209000000004,430,8590895,8.597853,47.412352,436,6.0,398.82414267029395,49.94,540
66,8.595545,47.409209000000004,430,8594198,8.598064,47.409292,440,10.0,210.0455469078477,49.9,360
176,8.521961,47.351679,0,176,8.521961,47.351679,0,0.0,0.0,50.0,120
176,8.521961,47.351679,0,8503086,8.526232,47.352123999999996,422,422.0,553.9113633018651,45.78,840
8502186,8.398942,47.393407,428,8502186,8.398942,47.393407,428,0.0,0.0,50.0,120
8502186,8.398942,47.393407,428,8502270,8.399086,47.397714,415,-13.0,479.2427784436376,50.13,660
8502186,8.398942,47.393407,428,8590203,8.393134,47.394498,426,-2.0,498.27449222612313,50.02,660
8502187,8.377032,47.364740000000005,502,8502187,8.377032,47.364740000000005,502,0.0,0.0,50.0,120
8502188,8.354599,47.355907,445,8502188,8.354599,47.355907,445,0.0,0.0,50.0,120
8502188,8.354599,47.355907,445,8502268,8.359233999999999,47.357579,523,78.0,435.18144490895634,49.22,600
8502188,8.354599,47.355907,445,8502274,8.354713,47.352524,410,-35.0,377.91621690174395,50.35,540
8502188,8.354599,47.355907,445,8517377,8.350274,47.353792,400,-45.0,432.23423336871673,50.45,600
8502188,8.354599,47.355907,445,8580847,8.349997,47.353839,386,-59.0,450.5219233405746,50.59,600
8502208,8.589802,47.258748,484,8502208,8.589802,47.258748,484,0.0,0.0,50.0,120
8502208,8.589802,47.258748,484,8573553,8.589041,47.261463,409,-75.0,317.4487969263393,50.75,480
8502208,8.589802,47.258748,484,8573554,8.590198,47.258726,484,0.0,33.03612322925507,50.0,120
8502208,8.589802,47.258748,484,8573555,8.593161,47.257670000000005,409,-75.0,313.18688462219933,50.75,480
8502208,8.589802,47.258748,484,8579192,8.588799,47.263102,475,-9.0,491.36431998465093,50.09,660
8502208,8.589802,47.258748,484,8589111,8.592081,47.260884000000004,408,-76.0,313.2712996670355,50.76,480
8502208,8.589802,47.258748,484,8590655,8.587067,47.258145,520,36.0,239.92806444757124,49.64,360
