Day,Trip_ID,Type,Line_ID,Start_Station,Start_ID,Start_Time,Start_Delay,Stop_Station,Stop_ID,Stop_Time,Stop_Delay
2019-05-15,85:11:10839:001,Zug,10839,Zürich Altstetten,8503001,2019-05-16 00:16:00,0.0,Zürich HB,8503000,2019-05-16 00:21:00,0.0
2019-05-15,85:11:14017:001,Zug,14017,Zürich HB,8503000,2019-05-15 05:21:00,64.0,Zürich Wiedikon,8503011,2019-05-15 05:24:00,81.0
2019-05-15,85:11:14017:001,Zug,14017,Zürich Wiedikon,8503011,2019-05-15 05:24:00,112.0,Zürich Enge,8503010,2019-05-15 05:26:00,64.0
2019-05-15,85:11:14017:001,Zug,14017,Zürich Enge,8503010,2019-05-15 05:27:00,58.0,Zürich Wollishofen,8503009,2019-05-15 05:29:00,39.0
2019-05-15,85:11:14019:002,Zug,14019,Zürich Oerlikon,8503006,2019-05-15 05:39:00,39.0,Zürich Wipkingen,8503015,2019-05-15 05:41:00,54.0
2019-05-15,85:11:14019:002,Zug,14019,Zürich Wipkingen,8503015,2019-05-15 05:41:00,103.0,Zürich HB,8503000,2019-05-15 05:46:00,72.0
2019-05-15,85:11:14019:002,Zug,14019,Zürich HB,8503000,2019-05-15 05:51:00,54.0,Zürich Wiedikon,8503011,2019-05-15 05:54:00,53.0
2019-05-15,85:11:14019:002,Zug,14019,Zürich Wiedikon,8503011,2019-05-15 05:54:00,94.0,Zürich Enge,8503010,2019-05-15 05:56:00,47.0
2019-05-15,85:11:14019:002,Zug,14019,Zürich Enge,8503010,2019-05-15 05:57:00,38.0,Zürich Wollishofen,8503009,2019-05-15 05:59:00,17.0
2019-05-15,85:11:14020:002,Zug,14020,Zürich Wollishofen,8503009,2019-05-15 05:58:00,79.0,Zürich Enge,8503010,2019-05-15 06:02:00,-73.0
2019-05-15,85:11:14020:002,Zug,14020,Zürich Enge,8503010,2019-05-15 06:03:00,31.0,Zürich Wiedikon,8503011,2019-05-15 06:04:00,39.0
2019-05-15,85:11:14020:002,Zug,14020,Zürich Wiedikon,8503011,2019-05-15 06:04:00,99.0,Zürich HB,8503000,2019-05-15 06:09:00,-53.0
2019-05-15,85:11:14020:002,Zug,14020,Zürich HB,8503000,2019-05-15 06:14:00,51.0,Zürich Wipkingen,8503015,2019-05-15 06:17:00,59.0
2019-05-15,85:11:14020:002,Zug,14020,Zürich Wipkingen,8503015,2019-05-15 06:17:00,114.0,Zürich Oerlikon,8503006,2019-05-15 06:21:00,41.0
2019-05-15,85:11:14021:001,Zug,14021,Zürich Oerlikon,8503006,2019-05-15 06:09:00,88.0,Zürich Wipkingen,8503015,2019-05-15 06:11:00,102.0
2019-05-15,85:11:14021:001,Zug,14021,Zürich Wipkingen,8503015,2019-05-15 06:11:00,155.0,Zürich HB,8503000,2019-05-15 06:16:00,106.0
2019-05-15,85:11:14021:001,Zug,14021,Zürich HB,8503000,2019-05-15 06:21:00,48.0,Zürich Wiedikon,8503011,2019-05-15 06:24:00,60.0
2019-05-15,85:11:14021:001,Zug,14021,Zürich Wiedikon,8503011,2019-05-15 06:24:00,191.0,Zürich Enge,8503010,2019-05-15 06:26:00,152.0
2019-05-15,85:11:14021:001,Zug,14021,Zürich Enge,8503010,2019-05-15 06:27:00,141.0,Zürich Wollishofen,8503009,2019-05-15 06:29:00,124.0
2019-05-15,85:11:14022:002,Zug,14022,Zürich Wollishofen,8503009,2019-05-15 06:28:00,175.0,Zürich Enge,8503010,2019-05-15 06:32:00,30.0
2019-05-15,85:11:14022:002,Zug,14022,Zürich Enge,8503010,2019-05-15 06:33:00,48.0,Zürich Wiedikon,8503011,2019-05-15 06:34:00,57.0
2019-05-15,85:11:14022:002,Zug,14022,Zürich Wiedikon,8503011,2019-05-15 06:34:00,118.0,Zürich HB,8503000,2019-05-15 06:39:00,-14.0
2019-05-15,85:11:14022:002,Zug,14022,Zürich HB,8503000,2019-05-15 06:44:00,81.0,Zürich Wipkingen,8503015,2019-05-15 06:47:00,92.0
2019-05-15,85:11:14022:002,Zug,14022,Zürich Wipkingen,8503015,2019-05-15 06:47:00,138.0,Zürich Oerlikon,8503006,2019-05-15 06:51:00,65.0
